nome,cpf,cargo,status,telefone,naturalidade,data_nascimento,email,sexo,identidade_genero,raca_cor,deficiencia,aprovado_cotas,data_posse,orgao_lotacao,situacao_profissional,data_inicio_situacao,data_saida_situacao,promocao,data_promocao
Bruna Campos,41329506707,Juiz Auxiliar que atua no 1º grau,Inativo,(011) 0498 5052,RR,11-23-73,enovaes@da.com,Feminino,Cisgênero,Amarelo,visual,Cota para Indígenas,04-05-10,GABINETE DES. AURELIANO ALBUQUERQUE AMORIM,juiz_convocado_substituicao,01-18-23,,desembargador_antiguidade,05-23-22
Isadora Nogueira,78431529032,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Inativo,+55 71 8811-9070,PE,08-15-62,joaocostela@da.org,Feminino,Transexual,Negro(a) - Preto(a),mental,Cota para Indígenas,12-27-11,GABINETE DES. BRENO BOSS CACHAPUZ CAIADO,ocupante_cargo_jurisdicao,12-28-23,10-13-24,desembargadora_merecimento_mulher,02-16-17
Eduardo Pinto,42018369750,Ministro(a) ou Conselheiro(a),Ativo,(071) 9140 1199,BA,12-18-67,ana88@yahoo.com.br,Intersex,Transgênero,Amarelo,outras,Cota para pessoa com deficiência,06-02-14,GABINETE DES. CARLOS ALBERTO FRANCA,exonerado,08-21-23,,juiz_titular_merecimento,03-22-25
Kaique da Cunha,3769824547,Ministro(a) ou Conselheiro(a),Inativo,+55 (081) 9838-8551,ES,11-20-63,biancafernandes@monteiro.org,Não declarado,Transexual,Índigena,nao_possui,Cota para pessoa com deficiência,11-30-10,GOIANIA - 1ª Vara Cível,demitido,03-31-23,,nao_possui,
Manuela Sales,37052981602,Juiz(a) Substituto(a),Ativo,+55 (061) 2572-2479,RN,09-07-84,tnogueira@bol.com.br,Intersex,Travesti,Negro(a) - Preto(a),outras,Cota para outras ações afirmativas,07-14-19,"GOIANIA - 1ª VARA CRIMINAL DOS CRIMES CONTRA VÍTIMAS HIPERVULNERÁVEIS (CRIANÇAS E ADOLESCENTES, PESSOAS COM DEFICIÊNCIA E IDOSOS) E CRIMES DE TRÂNSITO",juiz_convocado_substituicao,05-24-24,,desembargador_quinto_mp,11-01-21
Dr. Vicente Azevedo,10936478250,Juiz(a) Titular,Inativo,31 1232 7810,ES,08-19-65,fda-mata@barbosa.com,Intersex,Cisgênero,Branco,intelectual,Cota para pessoa com deficiência,07-08-12,GOIANIA - 1ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri,afastado_decisao_administrativa,02-23-25,02-23-25,desembargadora_merecimento_mulher,08-15-14
Kevin Dias,38245019615,Juiz Auxiliar que atua no 1º grau,Ativo,(071) 8217-8588,DF,10-24-82,hcarvalho@ig.com.br,Masculino,Agênero,Amarelo,mental,Cota para Gênero,05-04-23,GOIANIA - 1ª Vara Criminal dos crimes punidos com reclusão e detenção,afastado_decisao_administrativa,10-06-23,,juiz_titular_antiguidade,06-03-24
Sr. Vitor da Rosa,70562349170,Juiz(a) da classe advogado que atua como titular no TRE ou TSE,Inativo,21 7402-7611,TO,10-30-70,carolina41@bol.com.br,Intersex,Cisgênero,Amarelo,fisica,Cota para Indígenas,12-13-13,GOIANIA - 1ª Vara da Faz. Púb. Mun. e de Reg. Púb. - Execução Fiscal,juiz_auxiliar_instrutor,07-13-23,12-15-23,desembargadora_merecimento_mulher,06-21-24
João Miguel Carvalho,91580673295,Juiz(a) Titular,Inativo,+55 (071) 8681 8580,EX,03-29-88,da-conceicaoarthur@gmail.com,Feminino,Agênero,Negro(a) - Pardo(a),"visual,auditiva",Cota para outras ações afirmativas,12-30-18,GOIANIA - 1ª Vara da Fazenda Pública Estadual,juiz_convocado_substituicao,04-16-23,,desembargadora_merecimento_mulher,01-11-23
Maria Vitória da Costa,39480215624,Desembargador(a),Ativo,+55 (061) 5870 4822,AC,12-17-82,mmoraes@gmail.com,Intersex,Travesti,Índigena,"visual,auditiva",Não,12-02-15,GOIANIA - 1ª VARA DAS GARANTIAS,ocupante_cargo_jurisdicao,08-30-22,,desembargador_quinto_oab,02-14-21
Rafaela Barbosa,92630517802,Juiz(a) da classe advogado que atua como substituto no TRE ou no TSE,Inativo,84 5678-2380,PA,04-14-87,oramos@fernandes.net,Feminino,Gênero fluido,Negro(a) - Preto(a),outras,Cota para Indígenas,04-17-06,GOIANIA - 1ª Vara de Execução Penal,afastado_decisao_administrativa,07-13-22,,desembargador_quinto_mp,09-09-12
Dr. Luigi Costela,98734065229,Juiz(a) da classe advogado que atua como substituto no TRE ou no TSE,Inativo,+55 81 4591 8431,RO,04-10-92,jlopes@uol.com.br,Masculino,Transexual,Amarelo,auditiva,Cota para outras ações afirmativas,01-25-18,GOIANIA - 1ª Vara de Família,diretor_escola_magistratura,05-17-24,,nao_possui,
Carolina Novaes,3852467900,Juiz(a) da classe advogado que atua como substituto no TRE ou no TSE,Ativo,(061) 3452 9800,AP,11-20-74,helena74@yahoo.com.br,Intersex,Transgênero,Índigena,visual,Cota para pessoa com deficiência,09-09-05,ITAUÇU - Vara Judicial,exonerado,09-28-22,06-03-23,nao_possui,
Arthur Rezende,80643571280,Desembargador(a),Ativo,+55 31 6653 7117,RO,06-28-79,mdias@bol.com.br,Intersex,Cisgênero,Negro(a) - Preto(a),outras,Cota para Gênero,02-01-24,ITUMBIARA - 1ª Vara (Cív. e da Inf.e da Juv.),juiz_convocado_substituicao,07-18-24,12-18-24,desembargador_merecimento_mista,07-16-24
Maria Fernanda Cardoso,94318670287,Magistrado(a) que atua como substituto no 2º grau eleitoral ou no TSE,Inativo,(011) 5775 0558,AM,09-20-77,laura78@cardoso.com,Feminino,Travesti,Branco,nao_possui,Cota para pessoa com deficiência,03-02-16,ITUMBIARA - 1ª Vara Criminal (crimes em geral e execuções penais),juiz_convocado_substituicao,09-27-22,,desembargador_quinto_oab,09-02-21
Leandro Silveira,27081695485,Magistrado(a) que atua como substituto no 2º grau eleitoral ou no TSE,Ativo,0800 219 1228,ES,02-28-64,meloesther@melo.com,Intersex,Transgênero,Negro(a) - Pardo(a),intelectual,Cota para outras ações afirmativas,12-13-09,ITUMBIARA - 1º CEJUSC - PRÉ-PROCESSUAL,saida_remocao_externa,04-07-23,,nao_possui,
João Vitor da Costa,90814637566,Magistrado(a) que atua como titular no 2º grau eleitoral ou no TSE,Inativo,+55 (071) 8641-6072,AL,03-28-80,carlos-eduardorezende@uol.com.br,Feminino,Travesti,Negro(a) - Pardo(a),intelectual,Cota para pessoa com deficiência,02-27-24,GOIANIA - 1ª Vara de Família,falecido,05-09-24,09-13-24,juiz_titular_merecimento,07-18-24
