nome,cpf,email,cargo,status,telefone,sexo,naturalidade,raca_cor,identidade_genero,aprovado_cotas,deficiencia,data_nascimento,data_posse,orgao_lotacao,situacao_profissional,data_inicio_situacao,data_saida_situacao
Dra. Maria Cecília da Cruz,82913564089,iramos@cunha.br,Juiz(a) leigo(a),Ativo,6155039014,Não declarado,RR,Branco,Travesti,Reserva de vagas para a Resolução n. 497,nao_possui,21/03/2001,31/05/2011,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Afastado(a),30/11/2013,
Dra. Maria Cecília da Cruz,82913564089,iramos@cunha.br,Juiz(a) leigo(a),Ativo,6155039014,Não declarado,RR,Branco,Travesti,Reserva de vagas para a Resolução n. 497,nao_possui,21/03/2001,31/05/2011,GOIANIA - 5ª VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSÃO E DETENÇÃO,Aposentado(a),30/11/2013,
Isis Sales,38265140762,wfarias@ig.com.br,Servidor(a) Comissionado(a) Sem vínculo,Inativo,65943841,Não declarado,SP,Negro(a) - Preto(a),Transgênero,Reserva de vagas para a Resolução n. 497,outras,29/11/1997,29/03/2023,GOIANIA - 10º Juizado Especial Cível,Saída por cessão/requisição,16/07/2014,03-06-11
Isis Sales,38265140762,wfarias@ig.com.br,Servidor(a) Comissionado(a) Sem vínculo,Inativo,65943841,Não declarado,SP,Negro(a) - Preto(a),Transgênero,Reserva de vagas para a Resolução n. 497,outras,29/11/1997,29/03/2023,GOIANIA - 10º Juizado Especial Cível,Cargo de chefia,16/07/2014,31/05/2007
Isis Sales,38265140762,wfarias@ig.com.br,Servidor(a) Comissionado(a) Sem vínculo,Inativo,65943841,Não declarado,SP,Negro(a) - Preto(a),Transgênero,Reserva de vagas para a Resolução n. 497,outras,29/11/1997,29/03/2023,GOIANIA - 10º Juizado Especial Cível,Outros cargos em comissão,16/07/2014,
Isis Sales,38265140762,wfarias@ig.com.br,Servidor(a) Comissionado(a) Sem vínculo,Inativo,65943841,Não declarado,SP,Negro(a) - Preto(a),Transgênero,Reserva de vagas para a Resolução n. 497,outras,29/11/1997,29/03/2023,GOIANIA - 10º Juizado Especial Cível,Não exerce cargo em comissão,16/07/2014,
Isis Sales,38265140762,wfarias@ig.com.br,Servidor(a) Comissionado(a) Sem vínculo,Inativo,65943841,Não declarado,SP,Negro(a) - Preto(a),Transgênero,Reserva de vagas para a Resolução n. 497,outras,29/11/1997,29/03/2023,GOIANIA - 10º Juizado Especial Cível,Afastado(a),16/07/2014,
Isis Sales,38265140762,wfarias@ig.com.br,Servidor(a) Comissionado(a) Sem vínculo,Inativo,65943841,Não declarado,SP,Negro(a) - Preto(a),Transgênero,Reserva de vagas para a Resolução n. 497,outras,29/11/1997,29/03/2023,GOIANIA - 10º Juizado Especial Cível,Aposentado(a),16/07/2014,
Leandro Lima,45163978039,qda-rosa@gmail.com,Outros,Ativo,3135279951,Não declarado,TO,Negro(a) - Pardo(a),Agênero,Cota para outras ações afirmativas,psicossocial,14/01/1966,26/04/2015,GABINETE DES. MARCUS DA COSTA FERREIRA,Demitido(a),24/11/2016,09-04-06
Leandro Lima,45163978039,qda-rosa@gmail.com,Outros,Ativo,3135279951,Não declarado,TO,Negro(a) - Pardo(a),Agênero,Cota para outras ações afirmativas,psicossocial,14/01/1966,26/04/2015,GABINETE DES. MARCUS DA COSTA FERREIRA,Cargo de chefia,24/11/2016,
Leandro Lima,45163978039,qda-rosa@gmail.com,Outros,Ativo,3135279951,Não declarado,TO,Negro(a) - Pardo(a),Agênero,Cota para outras ações afirmativas,psicossocial,14/01/1966,26/04/2015,GABINETE DES. MARCUS DA COSTA FERREIRA,Outros cargos em comissão,24/11/2016,05-01-15
Leandro Lima,45163978039,qda-rosa@gmail.com,Outros,Ativo,3135279951,Não declarado,TO,Negro(a) - Pardo(a),Agênero,Cota para outras ações afirmativas,psicossocial,14/01/1966,26/04/2015,GABINETE DES. MARCUS DA COSTA FERREIRA,Não exerce cargo em comissão,24/11/2016,27/05/2019
Leandro Lima,45163978039,qda-rosa@gmail.com,Outros,Ativo,3135279951,Não declarado,TO,Negro(a) - Pardo(a),Agênero,Cota para outras ações afirmativas,psicossocial,14/01/1966,26/04/2015,GABINETE DES. MARCUS DA COSTA FERREIRA,Afastado(a),24/11/2016,19/07/2020
Leandro Lima,45163978039,qda-rosa@gmail.com,Outros,Ativo,3135279951,Não declarado,TO,Negro(a) - Pardo(a),Agênero,Cota para outras ações afirmativas,psicossocial,14/01/1966,26/04/2015,GABINETE DES. MARCUS DA COSTA FERREIRA,Aposentado(a),24/11/2016,06-12-05
Maria Vitória Ferreira,21069874396,luiz-miguelribeiro@araujo.br,Outros,Inativo,3118936324,Feminino,PA,Índigena,Cisgênero,Cota para Gênero,outras,11-07-02,13/12/2004,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. LILIANA BITTENCOURT,Saída por cessão/requisição,04-03-01,17/06/2012
Maria Vitória Ferreira,21069874396,luiz-miguelribeiro@araujo.br,Outros,Inativo,3118936324,Feminino,PA,Índigena,Cisgênero,Cota para Gênero,outras,11-07-02,13/12/2004,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. LILIANA BITTENCOURT,Cargo de chefia,04-03-01,30/01/2011
Maria Vitória Ferreira,21069874396,luiz-miguelribeiro@araujo.br,Outros,Inativo,3118936324,Feminino,PA,Índigena,Cisgênero,Cota para Gênero,outras,11-07-02,13/12/2004,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. LILIANA BITTENCOURT,Outros cargos em comissão,04-03-01,13/09/2021
Maria Vitória Ferreira,21069874396,luiz-miguelribeiro@araujo.br,Outros,Inativo,3118936324,Feminino,PA,Índigena,Cisgênero,Cota para Gênero,outras,11-07-02,13/12/2004,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. LILIANA BITTENCOURT,Não exerce cargo em comissão,04-03-01,16/03/2013
Maria Vitória Ferreira,21069874396,luiz-miguelribeiro@araujo.br,Outros,Inativo,3118936324,Feminino,PA,Índigena,Cisgênero,Cota para Gênero,outras,11-07-02,13/12/2004,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. LILIANA BITTENCOURT,Afastado(a),04-03-01,22/02/2014
Maria Vitória Ferreira,21069874396,luiz-miguelribeiro@araujo.br,Outros,Inativo,3118936324,Feminino,PA,Índigena,Cisgênero,Cota para Gênero,outras,11-07-02,13/12/2004,GABINETE DE JUIZ SUBSTITUTO EM 2º GRAU DRA. LILIANA BITTENCOURT,Aposentado(a),04-03-01,05-05-23
Raul Moraes,35796142828,eduardo08@silveira.br,Servidor(a) Comissionado(a) Sem vínculo,Ativo,8448493924,Intersex,ES,Negro(a) - Pardo(a),Cisgênero,Reserva de vagas para a Resolução n. 497,outras,17/03/1987,27/05/2006,CATALÃO - 1ª VARA DE FAMÍLIA E SUCESSÕES,Aposentado(a),26/03/2013,02-03-20
Raul Moraes,35796142828,eduardo08@silveira.br,Servidor(a) Comissionado(a) Sem vínculo,Ativo,8448493924,Intersex,ES,Negro(a) - Pardo(a),Cisgênero,Reserva de vagas para a Resolução n. 497,outras,17/03/1987,27/05/2006,CATALÃO - 1ª VARA DE FAMÍLIA E SUCESSÕES,Cargo de chefia,26/03/2013,
Raul Moraes,35796142828,eduardo08@silveira.br,Servidor(a) Comissionado(a) Sem vínculo,Ativo,8448493924,Intersex,ES,Negro(a) - Pardo(a),Cisgênero,Reserva de vagas para a Resolução n. 497,outras,17/03/1987,27/05/2006,CATALÃO - 1ª VARA DE FAMÍLIA E SUCESSÕES,Outros cargos em comissão,26/03/2013,03-12-01
Raul Moraes,35796142828,eduardo08@silveira.br,Servidor(a) Comissionado(a) Sem vínculo,Ativo,8448493924,Intersex,ES,Negro(a) - Pardo(a),Cisgênero,Reserva de vagas para a Resolução n. 497,outras,17/03/1987,27/05/2006,CATALÃO - 1ª VARA DE FAMÍLIA E SUCESSÕES,Não exerce cargo em comissão,26/03/2013,16/01/2004
Raul Moraes,35796142828,eduardo08@silveira.br,Servidor(a) Comissionado(a) Sem vínculo,Ativo,8448493924,Intersex,ES,Negro(a) - Pardo(a),Cisgênero,Reserva de vagas para a Resolução n. 497,outras,17/03/1987,27/05/2006,CATALÃO - 1ª VARA DE FAMÍLIA E SUCESSÕES,Afastado(a),26/03/2013,24/12/2000
Raul Moraes,35796142828,eduardo08@silveira.br,Servidor(a) Comissionado(a) Sem vínculo,Ativo,8448493924,Intersex,ES,Negro(a) - Pardo(a),Cisgênero,Reserva de vagas para a Resolução n. 497,outras,17/03/1987,27/05/2006,CATALÃO - 1ª VARA DE FAMÍLIA E SUCESSÕES,Aposentado(a),26/03/2013,12-09-03
Sr. Lucas Gabriel Nogueira,48697325137,santosgustavo@bol.com.br,Juiz(a) leigo(a),Ativo,7158389786,Masculino,ES,Índigena,Outra,Reserva de vagas para a Resolução n. 497,intelectual,26/03/1981,28/10/2000,3ª Câmara Criminal,Saída por Remoção,20/08/2005,04-10-20
Sr. Lucas Gabriel Nogueira,48697325137,santosgustavo@bol.com.br,Juiz(a) leigo(a),Ativo,7158389786,Masculino,ES,Índigena,Outra,Reserva de vagas para a Resolução n. 497,intelectual,26/03/1981,28/10/2000,3ª Câmara Criminal,Cargo de chefia,20/08/2005,24/09/2015
Sr. Lucas Gabriel Nogueira,48697325137,santosgustavo@bol.com.br,Juiz(a) leigo(a),Ativo,7158389786,Masculino,ES,Índigena,Outra,Reserva de vagas para a Resolução n. 497,intelectual,26/03/1981,28/10/2000,3ª Câmara Criminal,Outros cargos em comissão,20/08/2005,07-02-19
Sr. Lucas Gabriel Nogueira,48697325137,santosgustavo@bol.com.br,Juiz(a) leigo(a),Ativo,7158389786,Masculino,ES,Índigena,Outra,Reserva de vagas para a Resolução n. 497,intelectual,26/03/1981,28/10/2000,3ª Câmara Criminal,Não exerce cargo em comissão,20/08/2005,
Sr. Lucas Gabriel Nogueira,48697325137,santosgustavo@bol.com.br,Juiz(a) leigo(a),Ativo,7158389786,Masculino,ES,Índigena,Outra,Reserva de vagas para a Resolução n. 497,intelectual,26/03/1981,28/10/2000,3ª Câmara Criminal,Afastado(a),20/08/2005,15/10/2002
Sr. Lucas Gabriel Nogueira,48697325137,santosgustavo@bol.com.br,Juiz(a) leigo(a),Ativo,7158389786,Masculino,ES,Índigena,Outra,Reserva de vagas para a Resolução n. 497,intelectual,26/03/1981,28/10/2000,3ª Câmara Criminal,Aposentado(a),20/08/2005,
Stephany Porto,57123964080,antonio20@hotmail.com,Terceirizado(a),Inativo,17656405,Feminino,PB,Amarelo,Agênero,Cota para Indígenas,visual,19/03/1982,27/06/2019,ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher,Não exerce cargo em comissão,08-04-22,22/03/2018
Stephany Porto,57123964080,antonio20@hotmail.com,Terceirizado(a),Inativo,17656405,Feminino,PB,Amarelo,Agênero,Cota para Indígenas,visual,19/03/1982,27/06/2019,ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher,Cargo de chefia,08-04-22,08-06-00
Stephany Porto,57123964080,antonio20@hotmail.com,Terceirizado(a),Inativo,17656405,Feminino,PB,Amarelo,Agênero,Cota para Indígenas,visual,19/03/1982,27/06/2019,ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher,Outros cargos em comissão,08-04-22,
Stephany Porto,57123964080,antonio20@hotmail.com,Terceirizado(a),Inativo,17656405,Feminino,PB,Amarelo,Agênero,Cota para Indígenas,visual,19/03/1982,27/06/2019,ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher,Não exerce cargo em comissão,08-04-22,
Stephany Porto,57123964080,antonio20@hotmail.com,Terceirizado(a),Inativo,17656405,Feminino,PB,Amarelo,Agênero,Cota para Indígenas,visual,19/03/1982,27/06/2019,ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher,Afastado(a),08-04-22,
Stephany Porto,57123964080,antonio20@hotmail.com,Terceirizado(a),Inativo,17656405,Feminino,PB,Amarelo,Agênero,Cota para Indígenas,visual,19/03/1982,27/06/2019,ANAPOLIS - Juizado de Violência Doméstica e Familiar Contra a Mulher,Aposentado(a),08-04-22,31/07/2021
Vitor Araújo,02549678176,udias@alves.br,Aprendiz,Ativo,05893047,Intersex,SE,Amarelo,Gênero fluido,Cota para Gênero,auditiva,16/04/1973,02-11-05,3ª Câmara Criminal,Não exerce cargo em comissão,04-07-20,31/07/2001
Vitor Araújo,02549678176,udias@alves.br,Aprendiz,Ativo,05893047,Intersex,SE,Amarelo,Gênero fluido,Cota para Gênero,auditiva,16/04/1973,02-11-05,3ª Câmara Criminal,Cargo de chefia,04-07-20,
Vitor Araújo,02549678176,udias@alves.br,Aprendiz,Ativo,05893047,Intersex,SE,Amarelo,Gênero fluido,Cota para Gênero,auditiva,16/04/1973,02-11-05,3ª Câmara Criminal,Outros cargos em comissão,04-07-20,11-11-24
Vitor Araújo,02549678176,udias@alves.br,Aprendiz,Ativo,05893047,Intersex,SE,Amarelo,Gênero fluido,Cota para Gênero,auditiva,16/04/1973,02-11-05,3ª Câmara Criminal,Não exerce cargo em comissão,04-07-20,
Vitor Araújo,02549678176,udias@alves.br,Aprendiz,Ativo,05893047,Intersex,SE,Amarelo,Gênero fluido,Cota para Gênero,auditiva,16/04/1973,02-11-05,3ª Câmara Criminal,Afastado(a),04-07-20,
Vitor Araújo,02549678176,udias@alves.br,Aprendiz,Ativo,05893047,Intersex,SE,Amarelo,Gênero fluido,Cota para Gênero,auditiva,16/04/1973,02-11-05,3ª Câmara Criminal,Aposentado(a),04-07-20,
Yuri da Mata,28916734509,ana-livia56@costa.br,Voluntário(a),Ativo,18492823,Masculino,BA,Índigena,Cisgênero,Cota para outras ações afirmativas,mental,31/10/2001,05-08-12,11ª Câmara Cível,Saída por Remoção,07-10-04,10-01-20
Yuri da Mata,28916734509,ana-livia56@costa.br,Voluntário(a),Ativo,18492823,Masculino,BA,Índigena,Cisgênero,Cota para outras ações afirmativas,mental,31/10/2001,05-08-12,11ª Câmara Cível,Cargo de chefia,07-10-04,
Yuri da Mata,28916734509,ana-livia56@costa.br,Voluntário(a),Ativo,18492823,Masculino,BA,Índigena,Cisgênero,Cota para outras ações afirmativas,mental,31/10/2001,05-08-12,11ª Câmara Cível,Outros cargos em comissão,07-10-04,
Yuri da Mata,28916734509,ana-livia56@costa.br,Voluntário(a),Ativo,18492823,Masculino,BA,Índigena,Cisgênero,Cota para outras ações afirmativas,mental,31/10/2001,05-08-12,11ª Câmara Cível,Não exerce cargo em comissão,07-10-04,13/11/2000
Yuri da Mata,28916734509,ana-livia56@costa.br,Voluntário(a),Ativo,18492823,Masculino,BA,Índigena,Cisgênero,Cota para outras ações afirmativas,mental,31/10/2001,05-08-12,11ª Câmara Cível,Afastado(a),07-10-04,
Yuri da Mata,28916734509,ana-livia56@costa.br,Voluntário(a),Ativo,18492823,Masculino,BA,Índigena,Cisgênero,Cota para outras ações afirmativas,mental,31/10/2001,05-08-12,11ª Câmara Cível,Aposentado(a),07-10-04,
